	Start	End
P	1	599
I	360	479
C	360	479
M	480	599
C	600	719
I	600	959
P	840	1439
M	840	959
C	1200	1559
I	1440	1919
P	1800	2999
C	1920	2039
C	2160	2519
A	2520	2639
C	2760	2879
M	2760	2879
I	2880	3239
P	3120	3359
A	3240	3479
I	3480	3599
P	3600	4199
C	3600	3839
C	4080	4199
I	4080	4439
P	4440	4799
A	4680	4919
M	4800	5039
P	4920	5039
C	5040	5159
P	5160	5399
C	5280	5519
I	5520	5759
P	5760	6479
I	5880	5999
C	6000	6239
M	6000	6119
C	6360	6599
M	6360	6479
A	6480	6599
P	6600	6839
A	6720	7199
M	6840	6959
P	6960	7079
P	7200	7919
A	7800	8039
P	8040	8279
M	8040	8159
C	8160	8399
I	8280	8639
P	8520	8999
M	8520	8639
A	8760	8879
M	8880	8999
I	9000	9480
